occurrence_no,collection_no,identified_name,identified_rank,accepted_name,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,abund_value,abund_unit,taxon_environment,diet,composition,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
176444,16651,Miocyon cf. scotti,species,Miocyon scotti,Uintan,,46.2,40.4,6294,Chordata,Mammalia,Carnivora,Miacidae,Miocyon,,,terrestrial,"carnivore, omnivore",phosphatic,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,
176539,16667,Miacidae indet.,family,Miacidae,Early Uintan,,46.2,40.4,1681,Chordata,Mammalia,Carnivora,Miacidae,,,,terrestrial,carnivore,phosphatic,-117.099998,32.900002,US,California,San Diego,based on political unit,1,small collection,
176550,16669,Carnivora ? indet.,order,Carnivora,Early Uintan,,46.2,40.4,1681,Chordata,Mammalia,Carnivora,,,,,terrestrial,"carnivore, omnivore",phosphatic,-117.099998,32.900002,US,California,San Diego,based on political unit,1,small collection,
177092,16763,Carnivora ? indet.,order,Carnivora,Early Uintan,,46.2,40.4,3538,Chordata,Mammalia,Carnivora,,,,,terrestrial,"carnivore, omnivore",phosphatic,-117.12133,32.801147,US,California,San Diego,based on political unit,6,small collection,
177163,16780,Miacis ? cf. hookwayi,species,Miacis hookwayi,Late Uintan,,46.2,40.4,3540,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-117.07251,32.919666,US,California,San Diego,based on political unit,6,small collection,
177181,16786,Procynodictis progressus,species,Procynodictis progressus,Uintan,,46.2,40.4,6294,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Procynodictis,,,terrestrial,"carnivore, omnivore",phosphatic,-119,34.299999,US,California,Ventura,based on political unit,1,small collection,"""In a small exposure of red beds in a large canyon on the east side of the first canyon west of Tapo Canyon or 2.9 miles N. 39.5º E. of Santa Susana Bench Mark 961"" (Brattstrom 1955)"
177182,16786,Miacis ? n. sp. hookwayi,species,Miacis hookwayi,Uintan,,46.2,40.4,1681,Chordata,Mammalia,Carnivora,Miacidae,Miacis,1,specimens,terrestrial,carnivore,phosphatic,-119,34.299999,US,California,Ventura,based on political unit,1,small collection,"""In a small exposure of red beds in a large canyon on the east side of the first canyon west of Tapo Canyon or 2.9 miles N. 39.5º E. of Santa Susana Bench Mark 961"" (Brattstrom 1955)"
177232,16790,Procynodictis progressus,species,Procynodictis progressus,Uintan,,46.2,40.4,6294,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Procynodictis,2,specimens,terrestrial,"carnivore, omnivore",phosphatic,-119,34.299999,US,California,Ventura,based on political unit,1,small collection,"""in the section between Alamos and Brea Canyons... on the north side of Simi Valley"" (Brattstrom 1955)"
177278,16797,Miacis sp.,genus,Miacis,Uintan,,46.2,40.4,2072,Chordata,Mammalia,Carnivora,Miacidae,Miacis,1,specimens,terrestrial,carnivore,phosphatic,-119,34.299999,US,California,Ventura,based on political unit,1,small collection,
177280,16798,Miacis sp.,genus,Miacis,Uintan,,46.2,40.4,2074,Chordata,Mammalia,Carnivora,Miacidae,Miacis,1,specimens,terrestrial,carnivore,phosphatic,-119,34.299999,US,California,Ventura,based on political unit,1,small collection,
177317,16806,Carnivora ? indet.,order,Carnivora,Duchesnean,,40.4,37.2,1681,Chordata,Mammalia,Carnivora,,,,,terrestrial,"carnivore, omnivore",phosphatic,-119,34.299999,US,California,Ventura,based on political unit,1,small collection,
